"Country","Year","Maternal mortality ratio (per 100 000 live births)","Births attended by skilled health personnel (%)"
"Guinea","2015"," 679 [ 504 -  927]",""
"Guinea-Bissau","2015"," 549 [ 273 - 1 090]",""
"Guyana","2015"," 229 [ 184 -  301]",""
"Haiti","2015"," 359 [ 236 -  601]",""
"Honduras","2015"," 129 [ 99 -  166]",""
"Hungary","2015"," 17 [ 12 -  22]",""
"Iceland","2015"," 3 [ 2 -  6]",""
"India","2015"," 174 [ 139 -  217]",""
"Indonesia","2015"," 126 [ 93 -  179]",""
"Iran (Islamic Republic of)","2015"," 25 [ 21 -  31]",""
"Iraq","2015"," 50 [ 35 -  69]",""
"Ireland","2015"," 8 [ 6 -  11]","99.7"
"Israel","2015"," 5 [ 4 -  6]",""
"Italy","2015"," 4 [ 3 -  5]",""
"Jamaica","2015"," 89 [ 70 -  115]",""
"Japan","2015"," 5 [ 4 -  7]","99.9"
"Jordan","2015"," 58 [ 44 -  75]",""
"Kazakhstan","2015"," 12 [ 10 -  15]",""
"Kenya","2015"," 510 [ 344 -  754]",""
"Kiribati","2015"," 90 [ 51 -  152]",""
"Kuwait","2015"," 4 [ 3 -  6]",""
"Kyrgyzstan","2015"," 76 [ 59 -  96]",""
"Lao People's Democratic Republic","2015"," 197 [ 136 -  307]",""
"Latvia","2015"," 18 [ 13 -  26]",""
"Lebanon","2015"," 15 [ 10 -  22]",""
"Lesotho","2015"," 487 [ 310 -  871]",""
"Liberia","2015"," 725 [ 527 - 1 030]",""
"Libya","2015"," 9 [ 6 -  15]",""
"Lithuania","2015"," 10 [ 7 -  14]",""
"Luxembourg","2015"," 10 [ 7 -  16]",""
"Madagascar","2015"," 353 [ 256 -  484]",""
"Malawi","2015"," 634 [ 422 - 1 080]",""
"Malaysia","2015"," 40 [ 32 -  53]","99.4"
"Maldives","2015"," 68 [ 45 -  108]",""
"Mali","2015"," 587 [ 448 -  823]",""
"Malta","2015"," 9 [ 6 -  15]",""
"Mauritania","2015"," 602 [ 399 -  984]",""
"Mauritius","2015"," 53 [ 38 -  77]",""
"Mexico","2015"," 38 [ 34 -  42]",""
"Micronesia (Federated States of)","2015"," 100 [ 46 -  211]",""
"Mongolia","2015"," 44 [ 35 -  55]",""
"Montenegro","2015"," 7 [ 4 -  12]",""
"Morocco","2015"," 121 [ 93 -  142]",""
"Mozambique","2015"," 489 [ 360 -  686]",""
"Myanmar","2015"," 178 [ 121 -  284]",""
"Namibia","2015"," 265 [ 172 -  423]",""
"Nepal","2015"," 258 [ 176 -  425]",""
"Netherlands","2015"," 7 [ 5 -  9]",""
"New Zealand","2015"," 11 [ 9 -  14]","96.3"
"Nicaragua","2015"," 150 [ 115 -  196]",""
"Niger","2015"," 553 [ 411 -  752]",""
"Nigeria","2015"," 814 [ 596 - 1 180]",""
"Norway","2015"," 5 [ 4 -  6]",""
"Oman","2015"," 17 [ 13 -  24]",""
"Pakistan","2015"," 178 [ 111 -  283]",""
"Panama","2015"," 94 [ 77 -  121]",""
"Papua New Guinea","2015"," 215 [ 98 -  457]",""
"Paraguay","2015"," 132 [ 107 -  163]",""
"Peru","2015"," 68 [ 54 -  80]",""
"Philippines","2015"," 114 [ 87 -  175]",""
"Poland","2015"," 3 [ 2 -  4]",""
"Portugal","2015"," 10 [ 9 -  13]",""
"Qatar","2015"," 13 [ 9 -  19]","99.9"
"Republic of Korea","2015"," 11 [ 9 -  13]",""
"Republic of Moldova","2015"," 23 [ 19 -  28]",""
"Romania","2015"," 31 [ 22 -  44]","95.2"
"Russian Federation","2015"," 25 [ 18 -  33]",""
"Rwanda","2015"," 290 [ 208 -  389]",""
"Saint Lucia","2015"," 48 [ 32 -  72]",""
"Saint Vincent and the Grenadines","2015"," 45 [ 34 -  63]",""
"Samoa","2015"," 51 [ 24 -  115]",""
"Sao Tome and Principe","2015"," 156 [ 83 -  268]",""
"Saudi Arabia","2015"," 12 [ 7 -  20]",""
"Senegal","2015"," 315 [ 214 -  468]",""
"Serbia","2015"," 17 [ 12 -  24]",""
"Sierra Leone","2015","1 360 [ 999 - 1 980]",""
"Singapore","2015"," 10 [ 6 -  17]",""
"Slovakia","2015"," 6 [ 4 -  7]",""
"Slovenia","2015"," 9 [ 6 -  14]",""
"Solomon Islands","2015"," 114 [ 75 -  175]",""
"Somalia","2015"," 732 [ 361 - 1 390]",""
"South Africa","2015"," 138 [ 124 -  154]",""
"South Sudan","2015"," 789 [ 523 - 1 150]",""
"Spain","2015"," 5 [ 4 -  6]",""
"Sri Lanka","2015"," 30 [ 26 -  38]",""
"Sudan","2015"," 311 [ 214 -  433]",""
"Suriname","2015"," 155 [ 110 -  220]","80.0"
"Swaziland","2015"," 389 [ 251 -  627]",""
"Sweden","2015"," 4 [ 3 -  5]",""
"Switzerland","2015"," 5 [ 4 -  7]",""
"Syrian Arab Republic","2015"," 68 [ 48 -  97]",""
"Tajikistan","2015"," 32 [ 19 -  51]",""
"Thailand","2015"," 20 [ 14 -  32]",""
"The former Yugoslav republic of Macedonia","2015"," 8 [ 5 -  10]",""
"Timor-Leste","2015"," 215 [ 150 -  300]",""
"Togo","2015"," 368 [ 255 -  518]",""
"Tonga","2015"," 124 [ 57 -  270]",""
"Trinidad and Tobago","2015"," 63 [ 49 -  80]","100.0"
"Tunisia","2015"," 62 [ 42 -  92]",""
"Turkey","2015"," 16 [ 12 -  21]",""
"Turkmenistan","2015"," 42 [ 20 -  73]",""
"Uganda","2015"," 343 [ 247 -  493]",""
"Ukraine","2015"," 24 [ 19 -  32]",""
"United Arab Emirates","2015"," 6 [ 3 -  11]","99.9"
"United Kingdom of Great Britain and Northern Ireland","2015"," 9 [ 8 -  11]",""
"United Republic of Tanzania","2015"," 398 [ 281 -  570]",""
"United States of America","2015"," 14 [ 12 -  16]","99.1"
"Uruguay","2015"," 15 [ 11 -  19]",""
"Uzbekistan","2015"," 36 [ 20 -  65]","100.0"
"Vanuatu","2015"," 78 [ 36 -  169]",""
"Venezuela (Bolivarian Republic of)","2015"," 95 [ 77 -  124]",""
"Viet Nam","2015"," 54 [ 41 -  74]",""
"Yemen","2015"," 385 [ 274 -  582]",""
"Zambia","2015"," 224 [ 162 -  306]",""
"Zimbabwe","2015"," 443 [ 363 -  563]",""
